# ID,name,RA,dec,mag
510,,0.102236,0.121419,8.210
511,,0.102521,-29.151382,7.900
512,,0.103163,87.889424,8.940
513,,0.103260,-23.538580,9.820
514,,0.103654,-1.887164,8.690
515,,0.103943,-32.816350,8.570
516,,0.104262,-55.498696,8.890
517,,0.104356,58.436733,5.980
518,,0.104673,-64.240473,7.920
519,,0.104706,-10.778477,7.600
520,,0.105181,-1.238097,8.220
521,,0.105277,-49.075191,5.700
522,,0.105282,-65.840538,12.170
523,,0.105545,-12.017184,8.750
524,,0.105609,40.898745,6.930
525,,0.105613,60.457121,7.970
526,,0.105773,68.636103,8.060
527,,0.106058,-24.602622,10.130
528,,0.106936,-18.038252,7.310
529,,0.107225,42.752760,8.350
530,,0.107370,64.196168,5.570
531,,0.107466,-74.401099,9.850
532,,0.107524,-16.737625,9.160
533,,0.107644,-52.933129,9.030
534,,0.107897,-43.627763,10.070
535,,0.108131,27.090106,9.760
536,,0.108702,-21.501264,9.350
537,,0.108833,5.825395,10.950
538,,0.109432,43.782223,8.870
539,,0.109872,28.553404,6.680
540,,0.109901,-47.584729,9.690
541,,0.109968,56.514480,8.050
542,,0.110056,-25.295685,10.300
543,,0.110209,29.021502,6.070
544,,0.110694,33.654249,8.510
545,,0.110792,-36.084770,7.710
546,,0.111000,-24.620840,8.560
547,,0.111131,70.169254,8.260
548,,0.111381,65.587694,11.550
549,,0.111621,56.324658,8.620
550,,0.112169,8.657202,10.920
551,,0.112581,-6.261311,10.510
552,,0.112641,-21.092538,9.830
553,,0.112857,-13.748886,9.840
554,,0.112946,10.069051,9.740
555,,0.113048,-4.350026,8.210
556,,0.113056,23.493822,8.720
557,,0.113118,-70.589435,8.030
558,,0.113321,44.612832,9.000
559,,0.113911,-23.107540,6.190
560,,0.113974,68.167123,11.790
561,,0.114065,20.559759,8.220
562,,0.114086,31.130423,7.930
563,,0.114256,-45.863876,10.180
564,,0.114543,1.861029,8.980
565,,0.114545,49.382114,9.130
566,,0.114803,-38.877668,6.910
567,,0.114827,-55.160828,8.790
568,,0.114967,-3.626263,8.230
569,,0.115387,-30.608502,12.190
570,,0.115487,-30.603072,10.240
571,,0.115594,38.202539,8.830
572,,0.115647,-43.985229,7.620
573,,0.116532,-40.414021,8.960
574,,0.116547,65.538714,10.410
575,,0.116577,53.974853,8.970
576,,0.116845,32.870098,9.610
577,,0.117222,22.844452,8.290
578,,0.117341,5.287996,8.300
